F1,clean_pos,Salary,ex_1_duartion,schools.university_1.study_field,schools.university_2.study_field,clean_comp
0,Software Engineer,93916,9 yrs,ComputerSoftware,Information Technology,Teradyne
1,Associate Human Resources Director,135955,1 yr,PHR,Human Resources Management,Harvard Kennedy School
3,Senior Integrated Producer,91586,7 yrs,Communication and Media Studies and Business Administration,,Wayfair
5,Clinical Programming Specialist,91894,1 yr 8 mos,Qlik Sense,"WDI - Web Development Immersive, Front End / Back End Web Development",bluebird bio
6,Sortation Associat,23400,1 yr 7 mos,,"International Relations, Economics",Amazon
7,Senior Software Engineer,128383,10 mos,Computer Science,Computer Science,Adobe
8,Senior System Administrator,114643,1 mo,Computer/Information Technology Administration and Management,"Business Administration, Concentration in MIS",Battery Ventures
9,Assistant Director,68776,2 mos,Finance & Economics,,Boston Red Sox
10,Vice President,157641,8 mos,Curriculum and Instruction,"Business (Marketing and Management) Minor in Law, Policy and Society",Teach For America
11,Head Of Engineering,109036,1 yr 6 mos,"Computer Engineering, Computer Science",,Zingeroo
12,Software Developer,106893,3 yrs 3 mos,Computer Science,Graphic Design,Florida Blue
13,Digital Communication Manager,64111,2 yrs 2 mos,Communication and Media Studies,,Boston University
14,Controller,127475,6 yrs 8 mos,Accounting,Accounting and Finance,Alcion Ventures
15,Business Operations Analyst,70443,4 yrs 1 mo,Mathematics,Mathematics,The Depository Trust & Clearing Corporation (DTCC)
16,Corporate Counsel,138639,2 yrs 3 mos,Business Law & Financial Services Concentration,Major in Criminology & Minor in Business,"Cantella & Co., Inc."
17,Enterprise Technology Project Manager,90068,1 yr 11 mos,Health Care,Project Management,Blue Cross Blue Shield of Massachusetts
18,Senior Manager,142841,1 yr 5 mos,Biotechnology,Biochemistry,"SOTIO, LLC"
20,Social Worker,64388,5 yrs 7 mos,"Psychology, Politics",Pre-Medical,Commonwealth of Massachusetts
25,Digital Partner,75226,5 yrs,Computer Science,,TrnDigital
26,Clinical Social Worker,69428,1 yr 4 mos,"Children, Youth, and Families; Trauma Certificate",Psychology; Concentration: Applied Behavior Analysis,Massachusetts General Hospital
27,Associate,44300,11 yrs 8 mos,Taxation,"Marketing,Finance, LPS",Paul-McCoy Family Office Services
30,Senior Marketing Program Specialist,123365,1 yr 11 mos,Communication and Media Studies,Marketing,Akamai Technologies
31,Tax Manager,125012,3 yrs 1 mo,Accounting,Accounting and Finance,Seaport Financial Partners
33,Electrical Engineer,91766,6 yrs 5 mos,Electrical and Computer Engineering,,Instant Eye
